Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ZAVOS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KAYOS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	SANDAGE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	NASH
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	TARKIN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KAYOS (con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	WINDY
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	BIGGS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	LEIA
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	BREHA
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	MONTROSS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PRUE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	BUREAUCRATS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (to the aids)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KANE (angrily)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KAYOS (pointing to the suns)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	STARKILLER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PHONE VOICE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DOCTOR
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	WHITSUN (with difficulty)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (to Montross)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PRINCESS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	CHIEF
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL SIX (intercom)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PILOT LEADER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (monitor)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL TWO
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PILOT LEADER (intercom)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL TWO (CHEWIE)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL SIX
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL FIVE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL FOUR (intercom)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	THREEPIO
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ARTWO
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL THREE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	FIRST OFFICER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ATTACHE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL SKYWALKER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEVIL FOUR
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	TROOPER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	OFFICER (on monitor)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	AIDE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	CHEWIE (DEVIL TWO)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (with difficulty)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PILOT LEADER'S NAVIGATOR
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	COMMANDER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	STARKILLER (Con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PRINCESS (sarcastic)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	THREEPIO (Con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PRINCESS (angrily pointing at Starkiller)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GUARD
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	QUEEN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	LEIA (angry)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	BLOODORY
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (to Starkiller)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PRINCESS (fuming)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	VALORUM
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	STORMTROOPER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	SERGEANT
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	SERGEANT (to Whitsun)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	STARKILLER (into intercom)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	STARKILLER (to general)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	CREATURE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	HUMAN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	HAN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	GENERAL (to Whitsun)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DATOS
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	OCCO
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	QUIST
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KANE (con't)
